LAESTAB,URN,LA,LA_Name,Region,School_name,School_type,Male_1_Alevel_2019,Male_count_2019,Male_1_Alevel%_2019,Female_1_Alevel_2019,Female_count_2019,Female_1_Alevel%_2019,All_1_Alevel_2019,All_count_2019,All_1_Alevel%_2019,Male_1_Alevel_2018,Male_count_2018,Male_1_Alevel%_2018,Female_1_Alevel_2018,Female_count_2018,Female_1_Alevel%_2018,All_1_Alevel_2018,All_count_2018,All_1_Alevel%_2018,Male_1_Alevel_2017,Male_count_2017,Male_1_Alevel%_2017,Female_1_Alevel_2017,Female_count_2017,Female_1_Alevel%_2017,All_1_Alevel_2017,All_count_2017,All_1_Alevel%_2017,Male_1_Alevel_2016,Male_count_2016,Male_1_Alevel%_2016,Female_1_Alevel_2016,Female_count_2016,Female_1_Alevel%_2016,All_1_Alevel_2016,All_count_2016,All_1_Alevel%_2016,engagement_all,engaged pre either
8554052,138627,855,Leicestershire,East Midlands,Groby Community College,Academy Converter,29,136,21.32352941,28,119,23.52941176,57,255,22.35294118,34,115,29.56521739,18,129,13.95348837,52,244,21.31147541,32,141,22.69503546,24,147,16.32653061,56,288,19.44444444,32,177,18.07909605,21,132,15.90909091,53,309,17.15210356,1,1
2096905,135073,209,Lewisham,Inner London,Haberdashers' Aske's Hatcham College,Academy Sponsor Led,30,92,32.60869565,33,110,30,63,202,31.18811881,23,103,22.33009709,19,95,20,42,198,21.21212121,39,111,35.13513514,20,92,21.73913043,59,203,29.06403941,20,103,19.41747573,16,97,16.49484536,36,200,18,1,1
2096906,135070,209,Lewisham,Inner London,Haberdashers' Aske's Knights Academy,Academy Sponsor Led,26,99,26.26262626,10,71,14.08450704,36,170,21.17647059,15,108,13.88888889,9,64,14.0625,24,172,13.95348837,17,99,17.17171717,10,75,13.33333333,27,174,15.51724138,14,117,11.96581197,9,81,11.11111111,23,198,11.61616162,1,1
9354017,136918,935,Suffolk,East of England,Hadleigh High School,Academy Converter,19,82,23.17073171,7,63,11.11111111,26,145,17.93103448,14,74,18.91891892,13,88,14.77272727,27,162,16.66666667,13,67,19.40298507,12,76,15.78947368,25,143,17.48251748,13,86,15.11627907,18,79,22.78481013,31,165,18.78787879,1,1
8454027,138472,845,East Sussex,South East,Hailsham Community College Academy Trust,Academy Converter,16,107,14.95327103,8,81,9.87654321,24,188,12.76595745,6,88,6.818181818,3,83,3.614457831,9,171,5.263157895,9,99,9.090909091,9,100,9,18,199,9.045226131,14,122,11.47540984,7,106,6.603773585,21,228,9.210526316,1,1
3734278,141495,373,Sheffield,Yorkshire and the Humber,Handsworth Grange Community Sports College,Academy Converter,9,95,9.473684211,10,99,10.1010101,19,194,9.793814433,6,110,5.454545455,5,93,5.376344086,11,203,5.418719212,12,102,11.76470588,6,103,5.825242718,18,205,8.780487805,11,115,9.565217391,6,87,6.896551724,17,202,8.415841584,1,1
3304207,138937,330,Birmingham,West Midlands,Handsworth Wood Girls' Academy,Academy Converter,0,0,-,25,122,20.49180328,25,122,20.49180328,0,0,-,19,126,15.07936508,19,126,15.07936508,0,0,-,23,133,17.29323308,23,133,17.29323308,0,0,-,12,128,9.375,12,128,9.375,1,1
8024145,136708,802,North Somerset,South West,Hans Price Academy,Academy Sponsor Led,3,48,6.25,1,34,2.941176471,4,82,4.87804878,6,78,7.692307692,2,69,2.898550725,8,147,5.442176871,2,68,2.941176471,1,55,1.818181818,3,123,2.43902439,5,79,6.329113924,1,78,1.282051282,6,157,3.821656051,1,1
3306910,136213,330,Birmingham,West Midlands,Harborne Academy,Academy Sponsor Led,14,69,20.28985507,4,36,11.11111111,18,105,17.14285714,4,65,6.153846154,3,44,6.818181818,7,109,6.422018349,5,48,10.41666667,3,51,5.882352941,8,99,8.080808081,7,66,10.60606061,5,43,11.62790698,12,109,11.00917431,1,1
8655414,136296,865,Wiltshire,South West,Hardenhuish School,Academy Converter,20,94,21.27659574,21,124,16.93548387,41,218,18.80733945,35,137,25.54744526,17,123,13.82113821,52,260,20,40,140,28.57142857,27,120,22.5,67,260,25.76923077,32,123,26.01626016,32,140,22.85714286,64,263,24.33460076,1,1
